,0,1,2,3
31,1.988428582630937e+30,116815.63187947698,2.8238043893707986e+18,0.0
32,1.9884285826403974e+30,116819.59337302404,2.2872986103251878e+18,0.0
33,1.9884285823824658e+30,116764.33943801744,1.6930508831075381e+19,0.0
34,1.9884285822717262e+30,116750.83322418875,2.3223701265505427e+19,0.0
35,1.9884285826480614e+30,116823.23490150733,1.8527245727738004e+18,0.0
36,1.988428582412265e+30,116768.4758204185,1.5237576630787064e+19,0.0
37,1.9884285825766503e+30,116798.81863123877,5.903686644176067e+18,0.0
38,1.988428581988551e+30,116724.1679677455,3.932756682121565e+19,0.0
39,1.9884285823125832e+30,116755.52592228637,2.0901515852504044e+19,0.0
40,1.988428582412265e+30,116768.4758204185,1.5237576630787064e+19,0.0
41,1.9884285823824658e+30,116764.33943801744,1.6930508831075381e+19,0.0
42,1.9884285824390884e+30,116772.44179996004,1.3713921379266945e+19,0.0
43,1.9884285823125832e+30,116755.52592228637,2.0901515852504044e+19,0.0
44,1.9884285824632328e+30,116776.2443847421,1.2342617612225663e+19,0.0
45,1.9884285821199014e+30,116735.51085420777,3.1856009728541114e+19,0.0
46,1.9884285821759155e+30,116740.83451208739,2.867069623073429e+19,0.0
47,1.9884285825379855e+30,116789.95112642221,8.09820039812057e+18,0.0
48,1.9884285823493607e+30,116760.02534520596,1.881152365788231e+19,0.0
49,1.9884285825379855e+30,116789.95112642221,8.09820039812057e+18,0.0
50,1.9884285826254054e+30,116813.52246227518,3.137547975032636e+18,0.0
51,1.9884285825522515e+30,116793.03220435049,7.288422634730975e+18,0.0
52,1.9884285825870536e+30,116801.53421973207,5.313345141842041e+18,0.0
53,1.988428582412265e+30,116768.4758204185,1.5237576630787064e+19,0.0
54,1.9884285825650924e+30,116795.98629692858,6.559616851174271e+18,0.0
55,1.9884285825522515e+30,116793.03220435049,7.288422634730975e+18,0.0
56,1.988428582412265e+30,116768.4758204185,1.5237576630787064e+19,0.0
57,1.9884285823125832e+30,116755.52592228637,2.0901515852504044e+19,0.0
58,1.9884285821759155e+30,116740.83451208739,2.867069623073429e+19,0.0
59,1.9884285822263378e+30,116745.93896669456,2.580387467379838e+19,0.0
60,1.9884285825650924e+30,116795.98629692858,6.559616851174271e+18,0.0
61,1.9884285819117625e+30,116718.12874129941,4.369679936285761e+19,0.0
62,1.9884285826048457e+30,116806.63418818182,4.3038508830405745e+18,0.0
63,1.9884285821199014e+30,116735.51085420777,3.1856009728541114e+19,0.0
