,0,1,2,3
62,6.012811904054108e+30,5943340.480373938,1.2125551260271749e+20,0.0
63,6.015762715302085e+30,6003395.460827081,4.707944805209413e+19,0.0
64,6.015762715302085e+30,6003395.460827081,4.707944805209413e+19,0.0
65,6.013714355793105e+30,5958597.869055404,9.827146862582135e+19,0.0
66,6.014453029496688e+30,5972695.152718601,7.964067383894334e+19,0.0
67,6.014453029496688e+30,5972695.152718601,7.964067383894334e+19,0.0
68,6.016864205826186e+30,6041313.1921121245,2.02940084040304e+19,0.0
69,6.014102206956836e+30,5965786.205869841,8.846742977958134e+19,0.0
70,6.015954111195525e+30,6008831.517258787,4.237985480374223e+19,0.0
71,6.016424264472145e+30,6023885.049677355,3.0911769230487618e+19,0.0
72,6.011710316317055e+30,5926834.472029937,1.496082828965845e+20,0.0
73,6.016948797412611e+30,6045245.097877671,1.826720488329366e+19,0.0
74,6.011710316317055e+30,5926834.472029937,1.496082828965845e+20,0.0
75,6.017661758821796e+30,6104019.835976978,1.4602023555208049e+18,0.0
76,6.015316492563164e+30,5991846.225511645,5.8098431201069466e+19,0.0
77,6.006738405158427e+30,5868854.346561475,2.809202754068653e+20,0.0
78,6.013285655400123e+30,5951119.590665737,1.0916083913275595e+20,0.0
79,6.014102206956836e+30,5965786.205869841,8.846742977958134e+19,0.0
80,6.016864205826186e+30,6041313.1921121245,2.02940084040304e+19,0.0
81,6.015057161875266e+30,5985715.428251033,6.453945105232895e+19,0.0
82,6.016283206200113e+30,6019068.363432242,3.434041876268193e+19,0.0
83,6.014770296074528e+30,5979334.928942936,7.169389221579923e+19,0.0
84,6.007783033567314e+30,5879474.739968258,2.5292618079489285e+20,0.0
85,6.015762715302085e+30,6003395.460827081,4.707944805209413e+19,0.0
86,6.014102206956836e+30,5965786.205869841,8.846742977958134e+19,0.0
87,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
88,6.007783033567314e+30,5879474.739968258,2.5292618079489285e+20,0.0
89,6.013285655400123e+30,5951119.590665737,1.0916083913275595e+20,0.0
90,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
91,6.013285655400123e+30,5951119.590665737,1.0916083913275595e+20,0.0
92,6.005586655122874e+30,5857818.932316519,3.1200802073192366e+20,0.0
93,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
94,6.015550889914525e+30,5997736.583679496,5.2299763226291634e+19,0.0
95,6.010366904504607e+30,5908985.716527723,1.8458158554985408e+20,0.0
96,6.01107183011477e+30,5918084.044884487,1.661784791768475e+20,0.0
97,6.01228848281974e+30,5935249.302901699,1.3468869498956074e+20,0.0
98,6.014770296074528e+30,5979334.928942936,7.169389221579923e+19,0.0
99,6.016283206200113e+30,6019068.363432242,3.434041876268193e+19,0.0
100,6.007783033567314e+30,5879474.739968258,2.5292618079489285e+20,0.0
101,6.012811904054108e+30,5943340.480373938,1.2125551260271749e+20,0.0
102,6.017477579083236e+30,6079361.716654416,5.739508903656227e+18,0.0
103,6.017025138014303e+30,6049019.913837977,1.6442728256101835e+19,0.0
104,6.013714355793105e+30,5958597.869055404,9.827146862582135e+19,0.0
